"date","geo","time","gprop","category","name","Travel","Holiday","Labor","Unemployment","Loan","Washing_machine","Fridge","BMW","Mercedes","Fashion","year","month"
"2018-11-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,0,17,0,0,0,32,13,25,41,2018,11
"2018-11-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,32,0,0,0,0,37,3,24,39,2018,11
"2018-11-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,20,37,0,6,0,100,2018,11
"2018-12-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,26,80,0,32,69,2018,12
"2018-12-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",26,11,0,0,22,0,0,19,0,0,2018,12
"2018-12-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,11,17,0,25,34,0,9,30,0,2018,12
"2018-12-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,17,0,48,0,35,0,0,0,93,2018,12
"2018-12-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,20,0,0,0,0,0,5,24,21,2018,12
"2019-01-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,17,0,0,29,0,9,0,0,2019,1
"2019-01-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",18,10,15,0,0,0,0,11,0,20,2019,1
"2019-01-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,26,0,0,0,34,36,13,27,0,2019,1
"2019-01-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,0,0,0,0,10,20,0,2019,1
"2019-02-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,10,0,0,0,0,0,13,0,0,2019,2
"2019-02-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,9,0,0,0,0,43,7,51,0,2019,2
"2019-02-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,6,21,0,0,44,0,11,20,0,2019,2
"2019-02-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,39,7,35,0,2019,2
"2019-03-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,40,0,5,31,35,2019,3
"2019-03-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,26,0,0,29,2019,3
"2019-03-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,19,52,0,0,0,22,5,24,29,2019,3
"2019-03-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,19,0,0,0,0,0,42,28,2019,3
"2019-03-31","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,0,16,24,37,5,0,43,2019,3
"2019-04-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",24,8,0,27,0,0,0,12,0,0,2019,4
"2019-04-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,0,0,0,0,0,0,12,21,55,2019,4
"2019-04-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,0,25,35,0,0,0,0,0,2019,4
"2019-04-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",54,8,30,0,0,24,0,14,0,33,2019,4
"2019-05-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,15,24,0,10,0,0,2019,5
"2019-05-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",62,67,27,0,10,0,0,4,0,45,2019,5
"2019-05-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,7,0,0,0,35,0,0,0,0,2019,5
"2019-05-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",100,0,0,0,0,40,37,6,23,0,2019,5
