Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,6.349937334,6.734907977,6.828510179,6.797993503,6.794575172,6.884989164,7.054375646,7.244362935,7.399872481,7.462959411
Moldova,MDA,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,7.809909148,7.645557644,7.340691985,6.9535948,6.58056326,6.266134281,6.004669742,5.807988555,5.690414034,5.640223856
Moldova,MDA,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,5.968289573,6.034717211,6.115744294,6.199936468,6.279249625,6.320246235,6.343446051,6.396335984,6.476891512,6.573991486
Moldova,MDA,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,6.989367821,7.149493881,7.338778941,7.557644332,7.818988317,8.065649042,8.213740087,8.237078546,8.14593307,7.951217131
Moldova,MDA,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.349302115,8.072863131,7.800764761,7.46417883,7.095800116,6.676455784,6.206509421,5.760361743,5.411911095,5.162598681
Moldova,MDA,"Population ages 15-64, male",SP.POP.1564.MA.IN,993231,992792,985901,968169,946696,921192,897159,875651,859951,848577
Moldova,MDA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,6.87650637,6.54380739,6.150921459,5.751371875,5.427784357,5.192169386,5.058159381,5.014882612,5.048467848,5.142421715
Moldova,MDA,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,5.363119627,5.419100519,5.507681871,5.636903543,5.748698752,5.855962673,5.980213522,6.15277725,6.365150699,6.578002008
Moldova,MDA,"Population ages 0-14, male",SP.POP.0014.MA.IN,257367,256123,258200,261666,264313,264853,264466,263693,263448,263862
Moldova,MDA,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,6.088187884,6.068803464,6.168681359,6.366184629,6.554813243,6.670819747,6.675698679,6.557359967,6.343383008,6.117880119
Moldova,MDA,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,,,,,,,,,,
Moldova,MDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.659,1.654,1.822,1.868,1.89,1.81,1.809,1.78,1.77,
Moldova,MDA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,15.8,15.6,15.3,15.1,14.8,14.6,14.3,14.1,13.8,13.5
Moldova,MDA,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,42.3,,,,,,,,43.9,
Moldova,MDA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,125.422,124.7,124.036,119.204,110.623,103.787,100.946,96.243,101.097,
Moldova,MDA,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,58,,,,,,,,,
Moldova,MDA,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,,,,,102,,,,,
Moldova,MDA,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,17.3,15.1,8.4,14.4,14.1,10,8.3,7.4,6.8,
Moldova,MDA,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,28.2,27.9,27.8,27.7,27.7,27.6,27.6,27.6,,
Moldova,MDA,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,,,,,,,,,,
Moldova,MDA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.4135,2.5028,2.4746,2.4836,,3.2066,,2.5586,3.1026,
Moldova,MDA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91,91,90,89,88,93,93,97,84,83
Moldova,MDA,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.67,0.65,0.64,0.64,0.6,0.6,0.6,0.58,0.58,0.59
Moldova,MDA,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,1400,1300,1200,1200,1100,1000,1000,950,910,910
Moldova,MDA,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Moldova,MDA,"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,,,,,,,
Moldova,MDA,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,80.73825323,81.34636771,81.95478127,82.54249075,83.13020022,83.7179097,84.30561917,84.89332865,85.48103812,
Moldova,MDA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,34.6,33.2,34.4,35.5,34.8,33.8,33.8,33.8,,
Moldova,MDA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,16.6,16.3,16,15.8,15.5,15.3,15,14.7,14.5,14.2
Moldova,MDA,"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9
Moldova,MDA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,88.734125,,,,89.48423797,,
Moldova,MDA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,4.790954004,,,,4.470503145,,
Moldova,MDA,Number of deaths ages 5-9 years,SH.DTH.0509,55,53,50,50,49,48,47,47,47,47
Moldova,MDA,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,26.8,26.4,26.3,26.3,26.3,26.5,26.7,27,,
Moldova,MDA,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,5.53,,,5.27,,,
Moldova,MDA,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,
Moldova,MDA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,11.2725,,,,,,,,,
Moldova,MDA,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,,,,,,,,,72.9,
Moldova,MDA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,17.56312,,17.1947,,16.22238,14.73902,11.90064,,,
Moldova,MDA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,18.26737,,22.69672,,22.51997,22.73416,23.33213,,,
Moldova,MDA,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,94.83113861,92.12493896,88.1729126,90.87840271,90.73120117,85.98310089,87.4957962,90.42591095,89.73854065,
Moldova,MDA,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,58.2990303,59.01327896,60.27273941,61.89028931,63.48577118,64.52076721,67.46733093,73.94624329
