regcode,date,Labor,Unemployment,Investment,Loan,Economy,Interest_rate,Inflation,Bankruptcy,Export,Mortgage_loan,Baggage,Holiday,BMW,Mercedes,McDonalds,Calvin_Klein,Gucci,Emigration,Washing_machine,Fridge,Sony,apple,Fitness,Recruitment,Travel,Savings,Computer_security,Unemployment_benefits,Fashion,MBA_degree
UA-05,7/1/2015,23,25,68,9,27,0,52,0,50,0,0,8,38,17,16,0,0,30,48,57,26,48,40,63,60,0,10,0,57,0
UA-05,8/1/2015,16,28,46,0,17,0,22,0,15,40,0,13,35,40,8,49,14,0,27,70,33,45,59,0,22,23,7,0,65,30
UA-05,9/1/2015,46,0,0,8,47,0,29,21,30,0,0,18,27,47,10,33,0,0,39,41,35,69,25,44,40,0,17,0,62,0
UA-05,10/1/2015,35,0,94,6,20,0,0,38,16,0,0,14,32,17,14,19,0,6,50,23,41,47,51,0,46,24,12,9,59,0
UA-05,11/1/2015,57,20,49,10,44,0,41,21,13,0,0,12,27,36,4,0,0,0,49,33,30,43,43,0,41,0,13,0,72,28
UA-05,12/1/2015,41,0,81,22,33,12,27,28,33,0,0,15,30,30,8,0,19,0,59,45,20,41,40,0,61,0,11,0,56,0
UA-05,1/1/2016,39,16,32,7,21,0,27,9,23,14,0,10,29,24,6,0,11,6,56,38,40,45,42,0,38,15,8,0,42,0
UA-05,2/1/2016,50,0,65,0,32,26,32,0,19,33,18,9,29,39,11,14,16,18,43,43,20,37,46,0,51,11,16,11,49,0
UA-05,3/1/2016,50,69,19,6,43,0,14,19,26,0,9,12,31,24,11,30,0,7,55,35,28,42,40,27,50,27,0,9,74,0
UA-05,4/1/2016,65,24,62,8,43,18,45,21,27,0,0,14,28,42,8,24,0,0,32,34,16,30,36,0,52,0,0,0,75,0
UA-05,5/1/2016,48,24,34,9,43,17,30,47,28,0,12,14,33,22,12,20,11,10,42,27,24,33,45,0,43,0,8,15,35,0
UA-05,6/1/2016,31,23,28,11,26,0,27,0,19,0,0,13,31,20,20,21,9,11,57,65,27,37,38,0,44,0,0,8,61,0
UA-05,7/1/2016,25,0,25,10,17,0,9,0,24,0,16,13,30,35,9,17,0,0,34,80,19,30,16,45,33,0,6,13,45,29
UA-05,8/1/2016,15,0,20,21,19,0,0,39,32,0,21,14,29,26,17,18,39,6,68,54,13,35,44,0,34,0,9,18,30,0
UA-05,9/1/2016,44,0,57,12,31,0,30,0,38,0,11,17,28,36,8,49,14,0,54,50,18,48,25,40,37,43,0,0,57,0
UA-05,10/1/2016,41,30,24,16,31,0,16,19,10,0,9,15,29,28,17,49,25,12,57,37,23,46,44,0,40,19,0,0,67,0
UA-05,11/1/2016,51,34,46,7,42,23,20,16,25,0,14,13,26,26,16,0,23,12,57,45,18,53,47,0,54,0,11,0,46,100
UA-05,12/1/2016,41,32,29,10,43,0,34,53,20,0,21,18,26,62,12,39,23,0,80,46,39,53,43,0,35,0,6,37,86,0
UA-05,1/1/2017,53,0,43,8,23,0,26,20,24,0,14,13,23,80,26,18,0,7,85,43,56,52,48,17,50,0,0,10,90,0
UA-05,2/1/2017,63,0,49,14,49,0,29,30,20,0,7,12,27,65,16,23,10,16,64,37,47,34,68,0,47,0,4,8,91,0
UA-05,3/1/2017,58,23,17,8,38,0,33,19,13,0,7,15,34,67,27,24,22,11,71,37,39,35,60,73,40,0,0,0,86,0
UA-05,4/1/2017,56,17,52,0,37,38,26,11,31,26,15,16,30,70,22,0,14,0,57,34,38,29,68,42,46,27,0,0,77,0
UA-05,5/1/2017,45,47,26,5,38,0,35,29,15,17,19,16,29,58,14,36,0,5,64,39,37,29,57,0,55,0,4,9,85,0
UA-05,6/1/2017,33,19,23,19,31,25,30,0,25,0,13,13,30,71,23,19,0,0,53,67,27,37,30,0,34,19,0,0,100,0
UA-05,7/1/2017,41,0,0,9,31,0,0,31,15,0,20,16,30,76,21,15,16,0,63,66,33,31,52,0,45,0,0,0,75,0
UA-05,8/1/2017,36,25,17,11,31,0,25,18,13,42,15,22,34,77,19,24,18,0,67,75,31,35,48,0,37,0,0,0,85,21
UA-05,9/1/2017,41,0,0,6,39,0,23,0,22,0,7,23,32,48,11,11,18,0,61,42,30,50,49,0,43,0,0,0,84,0
UA-05,10/1/2017,56,20,58,18,38,0,12,12,27,0,0,18,29,79,23,0,24,13,66,43,30,38,55,19,37,0,8,0,92,0
UA-05,11/1/2017,59,10,30,8,49,0,33,14,22,12,16,20,35,82,18,31,23,4,87,47,25,38,66,0,40,0,0,0,81,33
UA-05,12/1/2017,50,15,27,17,40,0,43,0,16,0,12,25,32,63,13,40,52,10,80,49,21,41,58,0,45,0,4,0,80,0
UA-05,1/1/2018,56,23,21,10,25,0,31,0,14,0,7,17,25,77,21,40,33,3,71,46,43,38,72,31,52,0,0,0,83,0
UA-05,2/1/2018,55,29,37,8,42,15,32,8,0,0,12,15,31,79,22,43,35,7,67,45,30,28,89,0,49,0,0,0,84,0
UA-05,3/1/2018,41,46,30,15,30,0,9,15,6,0,31,15,30,71,22,23,53,0,71,40,39,35,62,0,59,13,3,11,85,19
UA-05,4/1/2018,47,17,50,26,38,25,27,27,22,51,7,17,31,60,22,32,59,0,70,47,33,34,40,18,61,0,4,0,90,18
UA-05,5/1/2018,38,45,18,14,29,18,15,22,11,17,13,27,29,72,16,33,77,9,61,56,25,42,85,22,73,0,0,0,69,0
UA-05,6/1/2018,34,14,21,21,26,17,17,0,13,0,30,12,37,92,20,35,100,4,57,74,31,41,33,52,44,19,0,0,66,50
UA-05,7/1/2018,40,0,8,19,21,34,13,0,18,35,0,20,29,64,21,23,99,5,80,70,30,38,47,19,54,17,0,17,83,17
UA-05,8/1/2018,32,20,23,22,20,0,13,0,27,16,32,27,40,71,30,43,66,11,63,72,23,41,48,20,46,0,4,11,68,19
UA-05,9/1/2018,36,37,49,30,43,0,28,22,20,51,17,29,32,77,17,35,39,3,68,56,15,53,52,0,55,0,6,12,75,42
UA-05,10/1/2018,52,16,28,21,51,0,23,20,18,0,30,21,36,72,23,31,57,15,71,42,17,36,75,36,63,0,0,0,83,14
UA-05,11/1/2018,39,11,34,17,46,0,18,0,16,0,22,21,34,63,15,17,27,4,82,43,16,35,75,56,51,24,0,0,86,0
UA-05,12/1/2018,41,0,13,32,37,25,9,10,21,0,19,28,34,69,15,21,39,9,79,44,20,35,81,0,36,0,0,0,69,18
UA-05,1/1/2019,56,20,44,20,23,0,24,38,15,0,16,22,32,69,19,16,25,6,67,43,23,44,77,0,51,8,7,0,73,0
UA-05,2/1/2019,46,0,38,26,32,0,16,0,24,32,17,17,34,50,21,28,29,11,65,42,15,37,62,27,46,32,5,0,45,17
UA-05,3/1/2019,34,22,55,26,21,0,17,13,30,12,5,20,35,42,13,20,40,16,61,42,19,37,52,0,41,21,5,0,39,11
UA-05,4/1/2019,49,31,38,16,30,15,10,21,11,0,25,19,41,78,18,22,38,6,62,42,16,24,53,20,61,24,4,7,68,0
UA-05,5/1/2019,45,32,17,30,24,0,20,8,17,27,26,22,33,90,28,27,27,0,56,57,23,25,54,0,66,0,4,0,67,0
UA-05,6/1/2019,39,0,23,28,28,0,22,18,15,0,26,24,34,92,22,33,34,0,75,82,25,42,94,36,50,11,0,10,61,0
UA-05,7/1/2019,29,8,21,28,24,0,10,0,19,19,17,22,42,90,36,34,40,0,65,74,23,27,83,13,55,0,6,0,61,0
UA-05,8/1/2019,32,0,28,33,12,14,30,0,18,27,32,32,55,92,31,45,31,6,85,64,28,43,64,0,55,0,7,0,77,0
UA-05,9/1/2019,39,14,23,100,41,0,13,7,26,10,19,30,100,64,28,27,23,4,69,54,37,100,75,18,53,0,12,0,65,0
UA-05,10/1/2019,51,16,42,28,45,0,25,8,21,21,14,25,39,71,28,32,39,0,79,46,23,51,91,19,56,19,0,0,82,0
UA-05,11/1/2019,43,28,25,25,41,17,17,13,25,17,9,24,33,89,16,41,33,4,88,55,21,48,98,41,55,17,0,0,79,30
UA-05,12/1/2019,39,0,20,32,35,18,25,15,20,15,22,31,36,92,24,27,23,0,74,44,31,50,63,27,51,30,0,0,55,14
UA-05,1/1/2020,49,14,35,29,29,0,26,11,23,14,18,28,41,97,20,17,48,3,80,43,30,44,79,0,63,0,0,0,67,34
UA-05,2/1/2020,40,23,23,25,30,0,23,21,14,0,0,19,38,84,23,36,30,0,66,42,18,43,100,14,56,0,0,0,70,0
UA-05,3/1/2020,31,23,22,25,28,21,24,9,16,0,15,18,36,70,17,33,32,5,58,44,15,46,83,0,45,0,0,0,58,0
UA-05,4/1/2020,38,42,40,18,43,21,18,10,24,13,22,21,40,67,21,36,28,5,60,45,27,36,68,16,43,19,0,6,58,19
UA-05,5/1/2020,39,59,43,9,39,0,13,8,20,12,9,25,41,71,20,27,21,4,50,54,21,44,71,10,50,0,3,0,68,0
UA-05,6/1/2020,34,34,30,14,18,18,10,13,10,22,13,22,39,83,27,31,32,6,78,83,26,35,76,0,34,0,0,5,61,14
UA-05,7/1/2020,26,26,31,23,21,0,15,11,14,28,10,27,39,100,26,38,37,0,78,87,13,42,78,11,38,0,5,11,55,12
UA-05,8/1/2020,22,31,16,10,13,0,19,17,21,0,11,39,46,81,43,24,36,4,76,70,19,40,87,0,36,31,10,9,54,26
UA-05,9/1/2020,41,28,26,15,39,13,13,6,16,0,5,33,41,88,23,46,24,5,71,64,27,52,83,27,54,8,3,7,47,11
UA-05,10/1/2020,40,27,43,26,39,11,8,7,20,30,10,25,37,76,25,46,40,0,88,49,10,38,92,0,47,15,6,9,52,11
UA-05,11/1/2020,46,23,27,25,63,20,32,11,26,0,0,26,35,84,26,34,42,3,87,49,17,37,78,15,44,15,0,10,61,0
UA-05,12/1/2020,48,27,31,20,46,11,16,0,15,0,4,100,41,83,21,49,23,3,81,48,11,46,62,14,38,13,5,5,53,27
UA-05,1/1/2021,36,12,24,23,24,14,10,13,6,0,9,26,41,85,29,29,19,5,76,51,19,48,63,10,37,0,0,0,51,9
UA-05,2/1/2021,45,28,38,24,27,0,27,21,18,0,8,23,38,76,19,46,23,5,90,46,8,48,82,0,44,0,6,7,59,0
UA-05,3/1/2021,40,38,38,17,32,31,14,11,30,8,9,24,38,76,26,25,27,9,63,52,9,42,66,32,54,0,0,0,60,10
UA-05,4/1/2021,42,35,54,13,45,0,20,7,24,0,5,21,38,74,26,23,21,6,61,50,12,45,54,0,50,15,7,0,51,0
UA-05,5/1/2021,37,24,38,0,37,0,20,17,25,31,7,30,36,73,35,34,12,7,62,54,16,31,49,0,52,34,4,0,59,15
UA-05,6/1/2021,31,9,24,46,25,22,25,0,11,13,18,33,41,80,42,28,20,4,66,78,20,25,66,25,47,0,0,5,54,53
UA-05,7/1/2021,25,21,44,17,25,0,16,8,13,0,8,32,49,70,40,48,11,0,75,98,12,43,57,14,52,9,12,0,49,0
UA-05,8/1/2021,26,0,25,22,25,12,13,27,20,28,19,44,41,76,38,62,31,0,83,81,15,49,52,0,70,0,4,8,54,0
UA-05,9/1/2021,38,0,33,17,39,20,8,0,12,0,6,35,39,81,30,37,22,0,64,54,13,46,72,35,49,21,5,8,50,0
UA-05,10/1/2021,40,37,8,19,50,17,0,21,24,29,9,31,46,81,20,48,28,6,74,46,16,56,49,24,66,0,6,4,62,0
UA-05,11/1/2021,46,37,41,14,52,0,17,26,25,32,12,27,43,80,27,57,41,0,73,56,20,53,42,0,39,28,9,0,65,12
UA-05,12/1/2021,29,0,53,36,37,16,11,0,24,24,9,42,39,82,34,55,51,2,81,37,23,64,55,21,67,29,0,0,52,15
UA-05,1/1/2022,38,16,42,19,29,19,21,9,27,13,12,28,55,94,28,59,33,5,80,51,21,65,44,29,59,23,0,0,58,10
UA-05,2/1/2022,45,18,32,20,37,17,11,0,26,0,11,25,37,62,25,23,33,10,69,38,14,47,36,30,61,14,10,4,49,26
UA-05,3/1/2022,32,34,28,17,42,10,25,8,37,13,3,19,31,60,37,22,20,10,62,29,10,60,24,26,43,0,4,3,45,11
UA-05,4/1/2022,40,51,51,16,51,16,26,13,33,10,6,22,40,74,28,27,12,12,75,46,13,47,34,28,42,18,4,14,48,0
UA-05,5/1/2022,36,52,44,10,54,11,20,7,29,43,8,28,35,68,21,39,27,8,91,62,16,52,36,18,55,24,5,20,52,0
UA-05,6/1/2022,29,31,29,9,27,7,22,9,27,0,0,35,44,81,17,31,11,7,87,77,10,65,56,43,40,8,9,8,49,0
UA-05,7/1/2022,18,29,38,13,20,11,15,25,18,11,7,36,44,91,24,20,24,7,72,100,17,60,51,31,39,11,0,8,48,10
UA-05,8/1/2022,21,6,13,18,19,22,18,11,22,23,0,47,48,78,31,42,15,2,97,77,16,57,37,27,34,14,7,0,40,0
UA-05,9/1/2022,38,18,29,13,45,0,18,9,20,17,3,36,45,68,25,27,15,15,76,62,21,65,53,33,75,12,0,0,52,0
UA-05,10/1/2022,38,39,48,17,60,0,21,6,19,13,11,31,48,80,41,32,12,7,89,56,21,63,36,47,53,0,3,11,46,0
UA-05,11/1/2022,35,32,22,24,62,0,19,0,30,19,14,33,41,69,100,33,21,3,80,65,11,56,31,23,55,27,5,0,52,18
UA-05,12/1/2022,30,22,25,24,42,10,19,8,23,0,7,38,44,71,42,69,23,5,86,55,12,63,42,25,55,6,7,3,51,11
UA-05,1/1/2023,34,28,35,14,28,0,26,5,18,0,0,25,50,79,35,48,31,5,100,50,15,72,31,26,46,0,9,0,45,0
UA-07,1/1/2012,58,0,84,45,0,0,87,0,100,0,0,16,37,42,20,0,0,,0,36,0,100,0,100,32,0,100,0,80,31
UA-07,2/1/2012,39,68,100,0,29,0,0,0,49,0,100,21,45,27,0,57,0,,60,34,48,31,0,0,24,0,61,0,55,0
UA-07,3/1/2012,100,0,0,0,47,0,100,0,68,74,0,11,47,40,15,0,33,,40,28,0,48,0,0,0,45,0,0,72,0
UA-07,4/1/2012,79,0,48,0,24,0,24,0,45,0,0,15,33,0,0,100,0,,32,39,0,35,0,0,33,0,0,0,42,0
UA-07,5/1/2012,47,90,48,0,100,0,25,46,78,0,0,6,52,0,10,0,0,,0,46,30,51,73,0,70,37,30,0,57,45
UA-07,6/1/2012,48,0,40,0,0,0,0,0,66,0,0,13,33,100,10,0,0,,32,28,0,32,0,14,0,0,0,0,50,0
UA-07,7/1/2012,41,0,57,0,34,100,53,66,57,0,0,9,42,26,0,0,62,,0,71,100,44,0,0,72,0,0,0,0,0
UA-07,8/1/2012,53,0,20,0,33,0,26,0,39,0,0,16,32,57,0,0,0,,0,27,36,50,71,0,32,44,0,0,35,0
UA-07,9/1/2012,39,0,0,0,31,69,0,0,68,100,0,13,47,18,0,0,32,,26,32,51,86,33,0,38,0,0,0,100,0
UA-07,10/1/2012,54,0,25,100,44,0,40,0,0,0,0,17,31,42,0,0,100,,35,39,0,45,0,0,57,0,0,0,38,100
UA-07,11/1/2012,37,0,31,95,42,0,0,0,63,0,0,6,53,64,0,38,0,,0,22,33,45,28,0,59,0,23,0,32,20
UA-07,12/1/2012,24,0,18,0,21,0,0,100,43,0,0,18,28,42,0,51,0,,33,49,14,45,38,0,21,0,0,57,30,0
UA-07,1/1/2013,37,0,0,0,29,0,0,0,76,0,0,14,42,0,7,28,0,,24,38,0,49,34,0,48,0,0,68,41,0
UA-07,2/1/2013,49,100,32,0,19,61,16,0,0,0,0,10,37,81,0,0,0,,16,0,25,45,28,0,76,32,83,0,45,0
UA-07,3/1/2013,42,0,21,0,35,0,16,0,0,0,0,14,23,50,0,22,0,,12,12,12,23,0,0,34,0,0,0,40,0
UA-07,4/1/2013,23,0,0,65,0,0,38,0,0,0,0,11,52,38,0,73,0,,29,51,18,38,0,0,34,89,0,0,27,0
UA-07,5/1/2013,41,80,16,0,31,0,23,0,45,0,20,15,48,37,0,0,0,,0,38,26,34,30,11,60,37,26,52,56,0
UA-07,6/1/2013,48,50,0,70,25,0,0,0,23,0,0,13,29,27,12,0,0,,0,60,29,56,0,0,65,0,0,0,33,0
UA-07,7/1/2013,36,0,0,0,21,0,0,0,0,75,0,5,47,18,6,0,0,,30,62,39,0,27,15,66,100,28,0,44,0
